Name_Description	GTEX-1117F-0226-SM-5GZZ7	GTEX-1117F-0426-SM-5EGHI	GTEX-1117F-0526-SM-5EGHJ
ENSG00000116285.12_ERRFI1	18129	127554	67664
ENSG00000238290.1_RP11-431K24.1	11	15	51
ENSG00000232848.1_CTA-215D11.4	2	0	0
ENSG00000229305.1_RP11-431K24.2	0	0	0
ENSG00000227634.2_LINC01714	1	0	2
ENSG00000200975.1_RNU1-7P	0	0	0
ENSG00000233645.1_RP11-431K24.4	0	1	0
ENSG00000251977.1_RNU6-991P	0	0	0
ENSG00000162426.14_SLC45A1	170	118	570
ENSG00000252254.1_Y_RNA	0	2	1
ENSG00000142599.17_RERE	18146	44088	20563
ENSG00000232912.5_RP5-1115A15.1	29	159	33
ENSG00000221083.1_SNORA77	0	0	0
ENSG00000270282.1_RP5-1115A15.2	0	0	0
ENSG00000234619.1_RPL7P11	4	1	4
ENSG00000224315.2_RPL7P7	2	0	2
ENSG00000222511.2_Y_RNA	0	0	0
ENSG00000226545.1_RP4-633I8.3	3	0	4
ENSG00000228423.2_RP4-633I8.4	0	0	0
ENSG00000229716.2_RPL23AP19	0	0	0
ENSG00000074800.13_ENO1	43347	7970	46541
ENSG00000274258.1_MIR6728	1	0	0
ENSG00000236269.1_ENO1-IT1	17	5	21
ENSG00000230679.1_ENO1-AS1	4	3	1
ENSG00000201725.1_RNU6-304P	0	0	0
ENSG00000238249.2_HMGN2P17	1	1	2
ENSG00000232208.2_RP3-477M7.5	0	0	0
ENSG00000232663.2_RP3-477M7.6	0	0	0
ENSG00000131686.14_CA6	998	0	0
ENSG00000265141.2_RN7SL451P	0	0	0
ENSG00000197241.3_SLC2A7	0	1	0
ENSG00000142583.17_SLC2A5	3238	1023	496
ENSG00000252404.1_SCARNA16	2	0	0
ENSG00000180758.11_GPR157	435	1670	245
ENSG00000228526.6_MIR34AHG	488	59	447
ENSG00000234546.3_LINC01759	12	5	16
ENSG00000281937.1_RP3-510D11.4	10	0	12
ENSG00000049239.12_H6PD	13080	17444	11146
ENSG00000171621.13_SPSB1	5573	11963	2937
ENSG00000252956.1_RNA5SP40	0	0	0
ENSG00000235263.1_RP13-392I16.1	0	382	0
ENSG00000171612.6_SLC25A33	317	812	245
ENSG00000231181.1_RP13-15M17.1	8	11	3
ENSG00000188807.12_TMEM201	672	1989	263
ENSG00000171608.15_PIK3CD	1948	249	1362
ENSG00000179840.5_PIK3CD-AS1	4	0	2
ENSG00000233268.3_RP11-558F24.2	0	0	0
ENSG00000231789.2_PIK3CD-AS2	36	8	10
ENSG00000171603.16_CLSTN1	6590	2121	4008
ENSG00000271264.1_MZT1P1	0	0	0
ENSG00000280113.2_RP11-84A14.7	4	0	0
ENSG00000178585.14_CTNNBIP1	1886	787	847
ENSG00000162441.11_LZIC	492	238	389
ENSG00000228150.1_RP11-84A14.4	6	6	0
ENSG00000173614.13_NMNAT1	246	141	108
ENSG00000202415.1_RN7SKP269	3	8	0
ENSG00000283611.1_RP11-84A14.6	3	0	1
ENSG00000265521.1_MIR5697	0	0	0
ENSG00000162444.11_RBP7	3339	524	909
ENSG00000130939.18_UBE4B	2868	4661	2716
ENSG00000224340.1_RP11-496H15.2	0	0	0
ENSG00000233623.2_PGAM1P11	4	0	0
ENSG00000201746.1_RNU6-828P	0	0	0
ENSG00000054523.17_KIF1B	4985	14409	5724
ENSG00000264881.1_MIR1273D	0	0	0
ENSG00000199562.1_RNU6-37P	1	0	1
ENSG00000142657.20_PGD	3242	942	647
ENSG00000271989.1_RP4-736L20.3	0	1	0
ENSG00000175279.21_CENPS	157	30	60
ENSG00000241563.3_CORT	38	1	16
ENSG00000160049.11_DFFA	1110	1053	1284
ENSG00000142655.12_PEX14	936	686	982
ENSG00000243267.3_RN7SL614P	9	0	1
ENSG00000130940.14_CASZ1	610	1860	1208
ENSG00000272078.1_RP4-734G22.3	89	81	173
ENSG00000225158.2_HSPE1P24	0	0	0
ENSG00000175262.14_C1orf127	0	61	0
ENSG00000215785.2_CFL1P6	0	6	0
ENSG00000120948.16_TARDBP	8365	4903	8698
ENSG00000009724.16_MASP2	435	223	476
ENSG00000271895.2_RP4-635E18.8	466	268	562
ENSG00000116649.9_SRM	2403	4219	1877
ENSG00000171824.13_EXOSC10	5030	2458	4369
ENSG00000226849.1_RP4-635E18.7	310	87	232
ENSG00000230337.1_RP4-635E18.6	7	4	3
ENSG00000198793.12_MTOR	2445	3466	2578
ENSG00000225602.5_MTOR-AS1	2	1	0
ENSG00000253086.1_RNU6-537P	0	0	0
ENSG00000171819.4_ANGPTL7	801	32	172
ENSG00000207451.1_RNU6-291P	0	0	1
ENSG00000238173.1_RPL39P6	0	0	0
ENSG00000120942.13_UBIAD1	1252	1023	1403
ENSG00000238199.1_UBE2V2P3	6	0	9
ENSG00000224338.2_MTCYBP45	0	0	0
ENSG00000204624.7_DISP3	7	6	4
ENSG00000235643.1_LINC01647	0	0	0
ENSG00000116661.9_FBXO2	151	53	47
ENSG00000132879.13_FBXO44	1546	217	477
ENSG00000116663.10_FBXO6	300	354	92
ENSG00000116670.14_MAD2L2	1847	1354	1155
ENSG00000162490.6_DRAXIN	17	0	5
ENSG00000177674.15_AGTRAP	3847	4577	1282
ENSG00000215910.7_C1orf167	5	4	6
ENSG00000177553.6_RP11-56N19.5	0	0	0
ENSG00000177000.10_MTHFR	3583	1059	2926
ENSG00000011021.21_CLCN6	4247	1809	4844
ENSG00000242349.5_NPPA-AS1	13	4	19
ENSG00000175206.10_NPPA	120	209	150
ENSG00000120937.8_NPPB	4	8	7
ENSG00000224904.1_RP5-934G17.6	2	2	0
ENSG00000199347.1_RNU5E-1	1	1	0
ENSG00000201801.1_RNU5E-4P	0	0	0
ENSG00000116685.15_KIAA2013	3279	1604	2230
ENSG00000083444.16_PLOD1	3805	1251	2150
ENSG00000116688.16_MFN2	5470	10403	4954
ENSG00000270914.1_RP5-1077B9.5	0	0	0
ENSG00000116691.10_MIIP	1761	1835	1865
ENSG00000202461.1_Y_RNA	2	0	3
ENSG00000276869.1_MIR6729	0	2	0
ENSG00000243539.3_RN7SL649P	0	0	0
ENSG00000120949.14_TNFRSF8	68	108	53
ENSG00000201135.1_RNU6-777P	0	0	0
ENSG00000227875.2_RPL23AP89	0	0	0
ENSG00000283789.1_MIR7846	0	0	0
ENSG00000028137.18_TNFRSF1B	3994	1391	2819
ENSG00000263676.1_MIR4632	0	0	0
ENSG00000225196.2_RPL10P17	0	0	0
ENSG00000252969.1_SNORA70	0	0	1
ENSG00000048707.13_VPS13D	6436	4776	6905
ENSG00000239149.1_SNORA59A	16	1	12
ENSG00000229484.1_RP5-888M10.2	6	2	7
ENSG00000162496.8_DHRS3	7613	3867	6825
ENSG00000221340.1_RNU6ATAC18P	3	0	1
ENSG00000276830.1_MIR6730	0	0	0
ENSG00000272482.1_RP11-474O21.5	106	27	114
ENSG00000204518.2_AADACL4	9	2	0
ENSG00000226166.2_RP11-474O21.2	0	0	0
ENSG00000188984.11_AADACL3	2	0	1
ENSG00000157330.9_C1orf158	0	0	0
ENSG00000116726.4_PRAMEF12	0	1	0
ENSG00000116721.9_PRAMEF1	0	1	0
ENSG00000228338.1_LINC01784	0	0	0
ENSG00000239810.3_PRAMEF11	0	0	0
ENSG00000231103.2_PRAMEF30P	0	0	0
ENSG00000179172.9_HNRNPCL1	1	0	1
ENSG00000120952.4_PRAMEF2	0	0	0
ENSG00000243073.3_PRAMEF4	0	0	0
ENSG00000187545.5_PRAMEF10	0	0	0
ENSG00000204510.5_PRAMEF7	1	0	0
ENSG00000207434.1_RNU6-1072P	0	0	0
ENSG00000234064.1_PRAMEF29P	0	0	0
ENSG00000232423.6_PRAMEF6	0	0	0
ENSG00000274178.2_PRAMEF28P	0	0	0
ENSG00000274764.5_PRAMEF27	0	0	0
ENSG00000277058.2_HNRNPCL3	0	0	1
ENSG00000229571.7_PRAMEF25	0	0	0
ENSG00000277862.1_PRAMEF34P	0	0	0
ENSG00000236179.1_PRAMEF35P	0	0	0
ENSG00000275774.2_HNRNPCL2	0	1	0
ENSG00000229978.1_PRAMEF36P	0	0	0
ENSG00000233336.1_RP13-221M14.2	0	0	0
ENSG00000280267.4_PRAMEF26	0	0	0
ENSG00000179412.10_HNRNPCL4	1	0	0
ENSG00000204505.4_PRAMEF9	0	0	0
ENSG00000279169.2_PRAMEF13	0	0	0
ENSG00000279804.2_PRAMEF18	0	0	0
ENSG00000250894.1_PRAMEF31P	0	0	0
ENSG00000270601.4_PRAMEF5	0	0	0
ENSG00000231219.1_PRAMEF32P	0	0	0
ENSG00000207511.1_RNU6-771P	0	0	0
ENSG00000182330.10_PRAMEF8	0	0	0
ENSG00000237700.2_PRAMEF33	0	0	0
ENSG00000204501.7_PRAMEF15	0	0	0
ENSG00000228229.2_RP11-219C24.10	0	0	0
ENSG00000204481.7_PRAMEF14	0	0	0
ENSG00000204480.7_PRAMEF19	0	0	0
ENSG00000204479.4_PRAMEF17	0	0	0
ENSG00000204478.9_PRAMEF20	0	0	0
ENSG00000162494.5_LRRC38	14	534	0
ENSG00000259961.1_RP4-597A16.2	0	11	0
ENSG00000215909.3_BRWD1P1	0	0	0
ENSG00000162493.16_PDPN	6397	777	211
ENSG00000222952.1_RNA5SP41	0	0	0
ENSG00000237445.2_CTA-520D8.2	9	4	0
ENSG00000253085.1_SCARNA11	0	0	0
ENSG00000116731.22_PRDM2	5423	3791	3993
ENSG00000189337.16_KAZN	2497	128	383
ENSG00000252151.1_RNU6-1265P	0	0	0
ENSG00000231606.1_RP11-344F13.1	2	0	0
ENSG00000234593.2_RP4-704D23.1	1	0	0
ENSG00000235829.1_TBCAP2	0	1	0
ENSG00000175147.11_TMEM51-AS1	19	4	62
ENSG00000171729.13_TMEM51	123	42	127
ENSG00000204464.7_C1orf195	0	0	0
ENSG00000215720.4_RP1-21O18.3	3	0	2
ENSG00000278480.1_RP5-903E17.2	1	0	0
ENSG00000142621.19_FHAD1	35	4	10
ENSG00000233485.1_RP3-467K16.2	8	0	3
ENSG00000236045.1_RP3-467K16.7	2	0	2
ENSG00000228140.1_RP3-467K16.4	6	1	5
ENSG00000142634.12_EFHD2	4100	587	3179
ENSG00000162438.11_CTRC	32	74	157
ENSG00000142615.7_CELA2A	0	102	152
ENSG00000215704.9_CELA2B	3	14	34
ENSG00000132906.17_CASP9	364	427	659
ENSG00000116138.12_DNAJC16	929	722	637
ENSG00000251866.1_SCARNA21	0	0	0
ENSG00000272510.1_RP4-680D5.8	0	1	0
ENSG00000116771.5_AGMAT	14	89	7
ENSG00000237301.1_RP4-680D5.2	6	31	2
ENSG00000235084.3_CHCHD2P6	6	18	13
ENSG00000252417.1_RNU7-179P	0	0	0
ENSG00000236500.1_CD24P1	0	4	0
ENSG00000197312.11_DDI2	5174	16046	1884
ENSG00000271742.1_RP4-680D5.9	5	130	10
ENSG00000116786.11_PLEKHM2	10894	17507	6606
ENSG00000237938.5_RP11-288I21.1	93	87	92
ENSG00000162461.7_SLC25A34	351	1225	808
ENSG00000162460.6_TMEM82	0	0	1
ENSG00000224459.1_RP11-169K16.4	0	0	5
ENSG00000162458.12_FBLIM1	3230	194	6819
ENSG00000224321.1_RPL12P14	8	4	12
ENSG00000233954.6_UQCRHL	159	274	234
ENSG00000178715.8_RP11-169K16.8	15	14	19
ENSG00000179743.4_FLJ37453	280	368	187
ENSG00000065526.10_SPEN	7926	9272	16969
ENSG00000270620.1_RP1-134O19.3	0	0	0
ENSG00000116809.11_ZBTB17	1838	870	1436
ENSG00000234607.2_RP11-5P18.1	0	0	1
ENSG00000231353.1_RP11-5P18.3	0	0	0
ENSG00000275503.1_RP11-5P18.11	0	0	0
ENSG00000224966.4_TBC1D3P6	0	0	0
ENSG00000183888.4_C1orf64	2	24	4
ENSG00000173641.17_HSPB7	1438	46967	42903
ENSG00000186510.11_CLCNKA	50	76	167
ENSG00000232456.1_RP11-5P18.10	4	0	3
ENSG00000184908.17_CLCNKB	21	2	11
ENSG00000185519.8_FAM131C	65	0	43
ENSG00000142627.12_EPHA2	1828	526	1553
ENSG00000227959.1_RP11-276H7.2	31	3	7
ENSG00000224621.1_RP11-276H7.3	10	1	5
ENSG00000142632.16_ARHGEF19	799	64	400
ENSG00000237276.8_ANO7L1	18	1	11
ENSG00000132881.11_RSG1	75	33	71
ENSG00000233929.1_MT1XP1	21	50	35
ENSG00000037637.10_FBXO42	2205	1338	2666
ENSG00000055070.16_SZRD1	5548	2490	8393
ENSG00000226457.1_RP11-430L17.1	1	5	5
ENSG00000187144.11_SPATA21	10	8	26
ENSG00000157191.19_NECAP2	3191	320	1222
ENSG00000226029.1_LINC01772	108	8	54
ENSG00000080947.14_CROCCP3	249	37	180
ENSG00000206652.1_RNU1-1	0	0	0
ENSG00000261135.1_RP4-798A10.7	6	4	6
ENSG00000224174.2_RP4-798A10.4	0	0	0
ENSG00000233421.4_LINC01783	4	0	2
ENSG00000277344.1_RNU1-6P	0	0	0
ENSG00000268991.2_FAM231B	0	1	0
ENSG00000225710.1_RP5-875O13.6	0	8	0
ENSG00000219481.10_NBPF1	595	92	296
ENSG00000271732.1_RP5-1182A14.5	0	0	1
ENSG00000215908.10_CROCCP2	3648	1185	2147
ENSG00000186301.8_MST1P2	194	46	76
ENSG00000282143.1_RP1-163M9.8	0	0	0
ENSG00000207513.1_RNU1-3	0	0	0
ENSG00000237847.2_FAM231A	0	0	0
ENSG00000280114.1_RP5-875O13.7	0	2	0
ENSG00000236698.1_EIF1AXP1	6	13	12
ENSG00000268869.5_ESPNP	5	1	5
ENSG00000279151.1_RP1-163M9.7	0	0	0
ENSG00000279132.2_FAM231C	0	0	0
ENSG00000282740.1_RP5-1182A14.7	0	0	0
ENSG00000207389.1_RNU1-4	0	0	0
ENSG00000227684.2_CROCCP4	1	0	0
ENSG00000186715.10_MST1L	223	29	61
ENSG00000223643.6_RP11-108M9.1	0	0	0
ENSG00000230239.1_RP11-108M9.2	1	0	1
ENSG00000263811.1_MIR3675	0	0	0
ENSG00000228549.3_RP11-108M9.3	7	2	6
ENSG00000238142.1_RP11-108M9.4	39	19	16
ENSG00000235241.1_RP11-108M9.5	44	11	5
ENSG00000207005.1_RNU1-2	0	0	0
ENSG00000272426.1_RP11-108M9.6	2	0	3
ENSG00000058453.16_CROCC	1817	500	1360
ENSG00000117122.13_MFAP2	6114	21	445
ENSG00000226526.1_RP1-37C10.3	28	0	3
ENSG00000159363.17_ATP13A2	1457	891	701
ENSG00000117118.9_SDHB	1993	4989	2153
ENSG00000117115.12_PADI2	743	1261	29
ENSG00000204362.6_RP11-380J14.1	2	1	2
ENSG00000282843.1_RP11-380J14.4	0	0	0
ENSG00000142623.9_PADI1	5	30	14
ENSG00000142619.4_PADI3	0	1	0
ENSG00000266634.1_MIR3972	0	0	0
ENSG00000159339.13_PADI4	4	0	3
ENSG00000276747.1_PADI6	0	0	0
ENSG00000179051.13_RCC2	2709	456	731
